what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036293433
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036315060
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036315210
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036316016
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036331522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036346436
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1272036346462
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036349292
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1272036351326
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036351497
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036351497
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272036351523
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036352140
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036352140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272036352151
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036354294
opened,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272036377810
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272036377834
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036378073
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1272036378091
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036381151
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036407334
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036407919
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036408463
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036408752
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036525734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036526177
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036541883
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036545541
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036611323
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036653308
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036656292
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036656485
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036664090
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036664090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272036664109
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036668916
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036669056
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036669192
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036669225
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036669250
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036669719
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036674382
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036674382
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272036674395
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036681780
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036681859
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036681933
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036682405
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272036687070
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272036687070
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272036687081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036695326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036700257
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272036701353
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037089791
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037091349
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037099688
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037100396
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037145827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037161775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037195866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037196521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037203378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037232558
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272037239782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037239824
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1272037239855
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272037243751
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272037244010
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272037249376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037251734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1272037252942
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272037254525
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272037254983
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1272037255002
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272037255051
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272037257595
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272037275762
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1272037277510
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272037292804
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1272037301688
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1272037301986
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1272037302291
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272037304851
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272037310613
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272037314195
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272037314959
